"HOST PROTEIN","PATHOGEN PROTEIN","host_links","path_links","PATHOGEN NAME","TAXONOMY","PUBMED ID","GENE SYMBOL HOST","GENE SYMBOL PATHOGEN","HOST UNIPROT ENTRY","PATHOGEN UNIPROT ENTRY","SOURCE DATABASE","CONFIDENCE SCORE","INTERACTION Method","Status","Category"
"A5YKK6","Q7CKW7","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/Q7CKW7","Yersinia pestis","632","20711500","CNOT1","ftsS","CNOT1_HUMAN","Q7CKW7_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"A5YKK6","Q8CZZ7","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/Q8CZZ7","Yersinia pestis","632","20711500","CNOT1","recN","CNOT1_HUMAN","Q8CZZ7_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"A5YKK6","Q8ZFX5","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/Q8ZFX5","Yersinia pestis","632","20711500","CNOT1","hisD","CNOT1_HUMAN","HISX_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"A6NC98","Q5NI33","https://www.uniprot.org/uniprot/A6NC98","https://www.uniprot.org/uniprot/Q5NI33","Francisella tularensis subsp. tularensis SCHU S4","177416","20711500","CCDC88B","FTT_0257","CC88B_HUMAN","Q5NI33_FRATT","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"A6NC98","Q7CFV8","https://www.uniprot.org/uniprot/A6NC98","https://www.uniprot.org/uniprot/Q7CFV8","Yersinia pestis","632","20711500","CCDC88B","YPO0164","CC88B_HUMAN","Q7CFV8_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"B0I1T2","Q7CKU7","https://www.uniprot.org/uniprot/B0I1T2","https://www.uniprot.org/uniprot/Q7CKU7","Yersinia pestis","632","20711500","MYO1G","hemB","MYO1G_HUMAN","Q7CKU7_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"B0YJC5","P03427","https://www.uniprot.org/uniprot/B0YJC5","https://www.uniprot.org/uniprot/P03427","Influenza A virus (A/Wilson-Smith/1933(H1N1))","381518","unassigned1311","VIM","PB2","B0YJC5_HUMAN","PB2_I33A0","IntAct","0.35","anti tag coimmunoprecipitation","unreviewed","Virus"
"B2RTY4","B9VXK6","https://www.uniprot.org/uniprot/B2RTY4","https://www.uniprot.org/uniprot/B9VXK6","Human herpesvirus 5 strain Towne","10363","22810585","MYO9A","UL36","MYO9A_HUMAN","B9VXK6_HCMVT","IntAct","0.35","tandem affinity purification","reviewed","Virus"
"B3GQS7","P03427","https://www.uniprot.org/uniprot/B3GQS7","https://www.uniprot.org/uniprot/P03427","Influenza A virus (A/Wilson-Smith/1933(H1N1))","381518","unassigned1311, unassigned1311","HSPD1","PB2","B3GQS7_HUMAN, B3GQS7_HUMAN","PB2_I33A0, PB2_I33A0","IntAct","0.35","anti tag coimmunoprecipitation","unreviewed","Virus"
"B5BTY4","P19712-PRO_0000038050","https://www.uniprot.org/uniprot/B5BTY4","https://www.uniprot.org/uniprot/P19712","Hog cholera virus (strain Alfort)","11097","24965446, 24965446","DDX3X","-","B5BTY4_HUMAN, B5BTY4_HUMAN","POLG_CSFVA, POLG_CSFVA","HPIDB, VirHostNet","0.35","pull down, pull down","unreviewed","Virus"
"C7DJS2","P19712-PRO_0000038050","https://www.uniprot.org/uniprot/C7DJS2","https://www.uniprot.org/uniprot/P19712","Hog cholera virus (strain Alfort)","11097","24965446, 24965446","GSTP1","-","C7DJS2_HUMAN, C7DJS2_HUMAN","POLG_CSFVA, POLG_CSFVA","HPIDB, VirHostNet","0.35","pull down, pull down","unreviewed","Virus"
"C9JDS9","Q9WMX2","https://www.uniprot.org/uniprot/C9JDS9","https://www.uniprot.org/uniprot/Q9WMX2","Hepatitis C virus (isolate Con1)","333284","24169621","TUBA4A","-","C9JDS9_HUMAN","POLG_HCVCO","MINT","0.35","pull down","unreviewed","Virus"
"C9JL25","D2TI15","https://www.uniprot.org/uniprot/C9JL25","https://www.uniprot.org/uniprot/D2TI15","Citrobacter rodentium ICC168","637910","27822540, 27822540","HSPD1","espT","C9JL25_HUMAN, C9JL25_HUMAN","D2TI15_CITRI, D2TI15_CITRI","HPIDB","0.4","Affinity Chromatography technology","unreviewed","Bacteria"
"E7EQD7","D2TJZ4","https://www.uniprot.org/uniprot/E7EQD7","https://www.uniprot.org/uniprot/D2TJZ4","Citrobacter rodentium ICC168","637910","27822540","DLG1","espI","E7EQD7_HUMAN","D2TJZ4_CITRI","HPIDB","0.35","Affinity Chromatography technology","unreviewed","Bacteria"
"E7EUT5","D2TK72","https://www.uniprot.org/uniprot/E7EUT5","https://www.uniprot.org/uniprot/D2TK72","Citrobacter rodentium ICC168","637910","27822540, 27822540, 27822540","GAPDH","nleG1","E7EUT5_HUMAN, E7EUT5_HUMAN, E7EUT5_HUMAN","D2TK72_CITRI, D2TK72_CITRI, D2TK72_CITRI","HPIDB","0.35","Affinity Chromatography technology","unreviewed","Bacteria"
"E9PAV3","P06428","https://www.uniprot.org/uniprot/E9PAV3","https://www.uniprot.org/uniprot/P06428","Human papillomavirus type 8","10579","22898364","NACA","E6","NACAM_HUMAN","VE6_HPV08","VirHostNet","0.33","two hybrid","reviewed","Virus"
"E9PIF2","P03428","https://www.uniprot.org/uniprot/E9PIF2","https://www.uniprot.org/uniprot/P03428","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","DDX10","PB2","E9PIF2_HUMAN","PB2_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"E9PPV6","D2TK72","https://www.uniprot.org/uniprot/E9PPV6","https://www.uniprot.org/uniprot/D2TK72","Citrobacter rodentium ICC168","637910","27822540, 27822540, 27822540","SERPINH1","nleG1","E9PPV6_HUMAN, E9PPV6_HUMAN, E9PPV6_HUMAN","D2TK72_CITRI, D2TK72_CITRI, D2TK72_CITRI","HPIDB","0.35","Affinity Chromatography technology","unreviewed","Bacteria"
"F2Z2B9","P03468","https://www.uniprot.org/uniprot/F2Z2B9","https://www.uniprot.org/uniprot/P03468","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","TUBGCP2","NA","F2Z2B9_HUMAN","NRAM_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"F2Z2I2","P03428","https://www.uniprot.org/uniprot/F2Z2I2","https://www.uniprot.org/uniprot/P03428","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","PFKFB3","PB2","F2Z2I2_HUMAN","PB2_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"F2Z2I2","P03433","https://www.uniprot.org/uniprot/F2Z2I2","https://www.uniprot.org/uniprot/P03433","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","PFKFB3","PA","F2Z2I2_HUMAN","PA_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"F2Z2I2","P03468","https://www.uniprot.org/uniprot/F2Z2I2","https://www.uniprot.org/uniprot/P03468","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","PFKFB3","NA","F2Z2I2_HUMAN","NRAM_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"F5GZS6","D2TJZ4","https://www.uniprot.org/uniprot/F5GZS6","https://www.uniprot.org/uniprot/D2TJZ4","Citrobacter rodentium ICC168","637910","27822540","SLC3A2","espI","F5GZS6_HUMAN","D2TJZ4_CITRI","HPIDB","0.35","Affinity Chromatography technology","unreviewed","Bacteria"
"F5GZS6","Q9WMX2-PRO_0000037547","https://www.uniprot.org/uniprot/F5GZS6","https://www.uniprot.org/uniprot/Q9WMX2","Hepatitis C virus (isolate Con1)","333284","24169621","SLC3A2","-","F5GZS6_HUMAN","POLG_HCVCO","MINT","0.35","pull down","unreviewed","Virus"
"F8VYE8","P03431","https://www.uniprot.org/uniprot/F8VYE8","https://www.uniprot.org/uniprot/P03431","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","PPP1CC","PB1","F8VYE8_HUMAN","RDRP_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"F8VYE8","P03433","https://www.uniprot.org/uniprot/F8VYE8","https://www.uniprot.org/uniprot/P03433","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","PPP1CC","PA","F8VYE8_HUMAN","PA_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"F8VYE8","P06821","https://www.uniprot.org/uniprot/F8VYE8","https://www.uniprot.org/uniprot/P06821","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","PPP1CC","M","F8VYE8_HUMAN","M2_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","unreviewed","Virus"
"G3V2A3","D2TK72","https://www.uniprot.org/uniprot/G3V2A3","https://www.uniprot.org/uniprot/D2TK72","Citrobacter rodentium ICC168","637910","27822540","TUBB3","nleG1","G3V2A3_HUMAN","D2TK72_CITRI","HPIDB","0.35","Affinity Chromatography technology","unreviewed","Bacteria"
"K7EK43","P03452","https://www.uniprot.org/uniprot/K7EK43","https://www.uniprot.org/uniprot/P03452","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","28169297","TUBB6","HA","K7EK43_HUMAN","HEMA_I34A1","IntAct","0.35","anti tag coimmunoprecipitation","unreviewed","Virus"
"O00116","A0A288CFT1","https://www.uniprot.org/uniprot/O00116","https://www.uniprot.org/uniprot/A0A288CFT1","HIV-1 M:B_HXB2R, Human immunodeficiency virus 1","11706, 11676","22190034, 22190034","AGPS","vpr","ADAS_HUMAN, ADAS_HUMAN","A0A288CFT1_HV1H2, A0A288CFT1_HV1H2","VirHostNet, BioGRID","0.18","affinity chromatography technology, tap tag coimmunoprecipitation, affinity chromatography technology, tap tag coimmunoprecipitation","reviewed","Virus"
"O00116","P06821","https://www.uniprot.org/uniprot/O00116","https://www.uniprot.org/uniprot/P06821","Influenza A virus (A/Puerto Rico/8/1934(H1N1))","211044","26789921","AGPS","M","ADAS_HUMAN","M2_I34A1","VirHostNet","0.33","anti bait coimmunoprecipitation","reviewed","Virus"
"O00116","P0DOE9","https://www.uniprot.org/uniprot/O00116","https://www.uniprot.org/uniprot/P0DOE9","Human respiratory syncytial virus A2","11259","22593156","AGPS","1C","ADAS_HUMAN","NS1_HRSVA","IntAct","0.35","pull down","reviewed","Virus"
"O00116","P12520","https://www.uniprot.org/uniprot/O00116","https://www.uniprot.org/uniprot/P12520","Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE)","11698","22190034","AGPS","vpr","ADAS_HUMAN","VPR_HV1N5","IntAct","0.46","anti tag coimmunoprecipitation, pull down, anti tag coimmunoprecipitation, pull down","reviewed","Virus"
"O00116","Q20MH8","https://www.uniprot.org/uniprot/O00116","https://www.uniprot.org/uniprot/Q20MH8","Influenza A virus (A/Wilson-Smith/1933(H1N1))","381518","28169297","AGPS","M2","ADAS_HUMAN","Q20MH8_I33A0","IntAct","0.35","anti tag coimmunoprecipitation","reviewed","Virus"
"O00116","Q81XX7","https://www.uniprot.org/uniprot/O00116","https://www.uniprot.org/uniprot/Q81XX7","Bacillus anthracis","1392","20711500","AGPS","-","ADAS_HUMAN","Q81XX7_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00151","P68563","https://www.uniprot.org/uniprot/O00151","https://www.uniprot.org/uniprot/P68563","Vaccinia virus WR","10254","19637933","PDLIM1","TK","PDLI1_HUMAN","KITH_VACCW","VirHostNet","0.33","two hybrid","reviewed","Virus"
"O00154","Q7CH90","https://www.uniprot.org/uniprot/O00154","https://www.uniprot.org/uniprot/Q7CH90","Yersinia pestis","632","20711500","ACOT7","dinG","BACH_HUMAN","Q7CH90_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00161","P0C739","https://www.uniprot.org/uniprot/O00161","https://www.uniprot.org/uniprot/P0C739","Human herpesvirus 4 strain B95-8","10377","22810586","SNAP23","BNLF2a","SNP23_HUMAN","BNL2A_EBVB9","MINT","0.35","tandem affinity purification","reviewed","Virus"
"O00161","P0CK58","https://www.uniprot.org/uniprot/O00161","https://www.uniprot.org/uniprot/P0CK58","Human herpesvirus 4 strain B95-8","10377","22810586","SNAP23","BALF1","SNP23_HUMAN","BALF1_EBVB9","MINT","0.35","tandem affinity purification","reviewed","Virus"
"O00165","B9UPF3","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/B9UPF3","Human papillomavirus type 11","10580","22810586","HAX1","E5B","HAX1_HUMAN","B9UPF3_HPV11","VirHostNet","0.33","tandem affinity purification","reviewed","Virus"
"O00165","P06460","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/P06460","Human papillomavirus type 6b","10600","22810586, 22810586","HAX1","E5a","HAX1_HUMAN, HAX1_HUMAN","VE5A_HPV6B, VE5A_HPV6B","MINT, VirHostNet","0.33","tandem affinity purification, tandem affinity purification","reviewed","Virus"
"O00165","P0C6Z1","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/P0C6Z1","Epstein-barr virus strain ag876","82830","12636258","HAX1","BHRF1; HHV4tp2_gp07","HAX1_HUMAN","EAR_EBVA8","VirHostNet","0.18","gst pull down","reviewed","Virus"
"O00165","P69901","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/P69901","Human papillomavirus type 11","10580","22810586","HAX1","-","HAX1_HUMAN","VE5B_HPV11","MINT","0.35","tandem affinity purification","reviewed","Virus"
"O00165","P69961","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/P69961","Yersinia pestis","632","20711500","HAX1","lcrS","HAX1_HUMAN","LCRS_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q7ARD3","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q7ARD3","Yersinia pestis","632","20711500","HAX1","YPMT1.45c","HAX1_HUMAN","Q7ARD3_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q7CG77","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q7CG77","Yersinia pestis","632","20711500","HAX1","nhaA","HAX1_HUMAN","NHAA_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q7CJF6","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q7CJF6","Yersinia pestis","632","20711500","HAX1","hpr","HAX1_HUMAN","Q7CJF6_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q81KV7","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q81KV7","Bacillus anthracis","1392","20711500","HAX1","argG","HAX1_HUMAN","ASSY_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q81M67","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q81M67","Bacillus anthracis","1392","20711500","HAX1","buk","HAX1_HUMAN","BUK_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q81SN0","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q81SN0","Bacillus anthracis","1392","20711500","HAX1","-","HAX1_HUMAN","Q81SN0_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q81VT8","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q81VT8","Bacillus anthracis","1392","20711500","HAX1","rpoB","HAX1_HUMAN","RPOB_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q8AZK7","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q8AZK7","Human herpesvirus 4 strain B95-8","10377","18457437, 22810586","HAX1","EBNA-LP","HAX1_HUMAN, HAX1_HUMAN","EBNA5_EBVB9, EBNA5_EBVB9","MINT","0.53","tandem affinity purification","reviewed","Virus"
"O00165","Q8ZCH3","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q8ZCH3","Yersinia pestis","632","20711500","HAX1","nanT","HAX1_HUMAN","NANT_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q8ZHF4","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q8ZHF4","Yersinia pestis","632","20711500","HAX1","YPO0945","HAX1_HUMAN","IXTPA_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00165","Q8ZIY3","https://www.uniprot.org/uniprot/O00165","https://www.uniprot.org/uniprot/Q8ZIY3","Yersinia pestis","632","20711500","HAX1","groL","HAX1_HUMAN","CH60_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00170","A0A0H3NF38","https://www.uniprot.org/uniprot/O00170","https://www.uniprot.org/uniprot/A0A0H3NF38","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","216597","21566117","AIP","sspH2","AIP_HUMAN","A0A0H3NF38_SALTS","HPIDB","0.35","anti tag coimmunoprecipitation","reviewed","Bacteria"
"O00170","P12977","https://www.uniprot.org/uniprot/O00170","https://www.uniprot.org/uniprot/P12977","Human herpesvirus 4 strain B95-8","10377","12199906","AIP","EBNA3","AIP_HUMAN","EBNA3_EBVB9","UniProt","0.4","pull down","reviewed","Virus"
"O00182","Q5NGC3","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q5NGC3","Francisella tularensis subsp. tularensis SCHU S4","177416","20711500, 20711500","LGALS9","rlmL","LEG9_HUMAN, LEG9_HUMAN","RLMKL_FRATT, RLMKL_FRATT","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q7ARD3","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q7ARD3","Yersinia pestis","632","20711500, 20711500","LGALS9","YPMT1.45c","LEG9_HUMAN, LEG9_HUMAN","Q7ARD3_YERPE, Q7ARD3_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q7CG21","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q7CG21","Yersinia pestis","632","20711500, 20711500","LGALS9","YPO4006","LEG9_HUMAN, LEG9_HUMAN","Q7CG21_YERPE, Q7CG21_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q7CGK0","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q7CGK0","Yersinia pestis","632","20711500, 20711500","LGALS9","flbD","LEG9_HUMAN, LEG9_HUMAN","Q7CGK0_YERPE, Q7CGK0_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q7CJI6","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q7CJI6","Yersinia pestis","632","20711500, 20711500","LGALS9","YPO3049","LEG9_HUMAN, LEG9_HUMAN","Q7CJI6_YERPE, Q7CJI6_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q81PM7","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q81PM7","Bacillus anthracis","1392","20711500, 20711500","LGALS9","acoB","LEG9_HUMAN, LEG9_HUMAN","Q81PM7_BACAN, Q81PM7_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q81S70","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q81S70","Bacillus anthracis","1392","20711500, 20711500","LGALS9","malS","LEG9_HUMAN, LEG9_HUMAN","Q81S70_BACAN, Q81S70_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q81XZ0","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q81XZ0","Bacillus anthracis","1392","20711500, 20711500","LGALS9","-","LEG9_HUMAN, LEG9_HUMAN","Q81XZ0_BACAN, Q81XZ0_BACAN","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q8CZH4","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q8CZH4","Yersinia pestis","632","20711500, 20711500","LGALS9","fimD7","LEG9_HUMAN, LEG9_HUMAN","Q8CZH4_YERPE, Q8CZH4_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q8CZY7","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q8CZY7","Yersinia pestis","632","20711500, 20711500","LGALS9","syd","LEG9_HUMAN, LEG9_HUMAN","SYDP_YERPE, SYDP_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q8D0P1","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q8D0P1","Yersinia pestis","632","20711500, 20711500","LGALS9","cheY","LEG9_HUMAN, LEG9_HUMAN","CHEY_YERPE, CHEY_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00182","Q8ZGW9","https://www.uniprot.org/uniprot/O00182","https://www.uniprot.org/uniprot/Q8ZGW9","Yersinia pestis","632","20711500, 20711500","LGALS9","bioD1","LEG9_HUMAN, LEG9_HUMAN","BIOD1_YERPE, BIOD1_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"O00203","P03177","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/P03177","Human herpesvirus 4 strain B95-8","10377","22810586","AP3B1","TK","AP3B1_HUMAN","KITH_EBVB9","MINT","0.35","tandem affinity purification","reviewed","Virus"
"O00203","P06429","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/P06429","Human papillomavirus type 33","10586","22898364","AP3B1","E7","AP3B1_HUMAN","VE7_HPV33","VirHostNet","0.33","two hybrid","reviewed","Virus"
"O00203","P06788","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/P06788","Human papillomavirus type 18","333761","22898364","AP3B1","E7","AP3B1_HUMAN","VE7_HPV18","VirHostNet","0.33","two hybrid","reviewed","Virus"
"O00203","P24835","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/P24835","Human papillomavirus type 39","10588","22898364","AP3B1","E6","AP3B1_HUMAN","VE6_HPV39","VirHostNet","0.33","two hybrid","reviewed","Virus"
"O00203","P27915","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/P27915","Dengue virus 3 Philippines/H87/1956","408870","23326450","AP3B1","-","AP3B1_HUMAN","POLG_DEN3P","VirHostNet","0.33","two hybrid array","reviewed","Virus"
"O00203","P36827","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/P36827","Human papillomavirus type 32","333763","22898364","AP3B1","E7","AP3B1_HUMAN","VE7_HPV32","VirHostNet","0.33","two hybrid","reviewed","Virus"
"O00203","Q1HVD1","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/Q1HVD1","Epstein-barr virus strain ag876","82830","22810586","AP3B1","TK","AP3B1_HUMAN","KITH_EBVA8","VirHostNet","0.33","tandem affinity purification","reviewed","Virus"
"O00203","Q58HT7","https://www.uniprot.org/uniprot/O00203","https://www.uniprot.org/uniprot/Q58HT7","Dengue virus 4 Philippines/H241/1956","408686","23326450","AP3B1","-","AP3B1_HUMAN","POLG_DEN4P","VirHostNet","0.33","two hybrid array","reviewed","Virus"
